Timestamp,Transactions,USD
2016-02-05,6,0
2016-02-07,8,0
2016-02-08,2,0
2016-03-06,1,0
2017-01-18,1,0
2017-03-18,1,0
2017-04-03,6,0
2017-07-26,1,0
2017-07-27,1,0
2017-08-14,2,0
2017-08-20,1,0
2017-08-21,1,0
2017-08-22,1,0
2017-08-23,2,0
2017-09-04,1,0
2017-10-23,1,0
2017-10-30,3,0
2017-11-13,4,0
2017-11-17,1,0
2017-11-18,1,0
2017-11-20,8,0
2017-11-29,1,0
2017-11-30,3,0
2017-12-23,8,0
2017-12-26,1,0
2017-12-27,1,0
2017-12-28,1,0
2017-12-29,4,0
2018-01-14,1,0
2018-01-16,3,0
2018-01-31,2,0
2018-02-01,92,0
2018-02-02,13,0
2018-02-06,1,0
2018-02-07,4,0
2018-02-10,1,0
2018-02-14,2,0
2018-02-16,20,0
2018-02-17,8,0
2018-02-18,4,0
2018-02-19,2,0
2018-02-23,5,0
2018-02-28,2,0
2018-03-18,5,0
2018-03-21,3,0
2018-03-28,2,0
2018-04-04,1,0
2018-04-05,1,0
2018-04-11,1,0
2018-04-14,4,0
2018-04-20,8,0
2018-04-22,6,0
2018-04-23,14,0
2018-04-24,3,0
2018-04-25,14,0
2018-04-26,108,0
2018-04-27,81,0
2018-04-28,2,0
2018-04-30,2,0
2018-05-01,3,0
2018-05-03,18,0
2018-05-04,9,0
2018-05-14,3,0
2018-05-18,5,0
2018-05-26,3,0
2018-05-27,2,0
2018-05-28,100,0
2018-05-29,41,0
2018-05-30,41,0
2018-05-31,43,0
2018-06-01,45,0
2018-06-05,41,0
2018-06-09,15,0
2018-06-10,7,0
2018-06-11,25,0
2018-06-13,2,0
2018-06-14,1,0
2018-06-15,1,0
2018-06-16,5,0
2018-06-18,2,0
2018-06-20,2,0
2018-06-24,5,0
2018-06-27,2,0
2018-06-29,1,0
2018-07-01,1,0
2018-07-07,2,0
2018-07-18,1,0
2018-07-20,2,0
2018-07-27,1,0
2018-07-28,1,0
2018-08-02,5,0
2018-08-03,22,0
2018-08-04,2,0
2018-08-05,11,0
2018-08-07,2,0
2018-08-19,1,0
2018-08-20,1,0
2018-08-21,11,0
2018-08-22,16,0
2018-08-23,4,0
2018-08-24,7,0
2018-08-25,8,0
2018-08-26,3,0
2018-08-27,2,0
2018-08-28,1,0
2018-09-01,2,0
2018-09-02,9,0
2018-09-03,5,0
2018-09-04,1,0
2018-09-05,1,0
2018-09-08,3,0
2018-09-09,1,0
2018-09-10,2,0
2018-09-12,1,0
2018-09-13,1,0
2018-09-14,2,0
2018-09-16,6,0
2018-09-19,1,0
2018-09-23,4,0
2018-09-25,1,0
2018-10-18,1,0
2018-10-24,1,0
2018-10-30,1,0
2018-10-31,1,0
2018-11-10,2,0
2018-11-22,3,0
2018-12-09,2,0
2018-12-20,6,0
2018-12-26,2,0
2018-12-30,1,0
2019-01-06,1,0
2019-01-09,3,0
2019-01-11,5,0
2019-01-21,3,0
2019-02-09,1,0
2019-02-13,1,0
2019-02-19,2,0
2019-04-04,3,0
2019-05-01,2,0
2019-05-02,1,0
2019-05-04,1,0
2019-06-04,6,0
2019-06-05,9,0
2019-07-04,2,0
2019-07-17,1,0
2019-08-10,1,0
2019-09-03,1,0
2019-09-04,1,0
2019-10-09,16,0
2019-10-16,1,0
2019-11-11,1,0
2020-01-21,2,0
2020-01-29,1,0
2020-02-06,2,0
