Timestamp,Transactions,USD
2016-06-10,16,141
2016-06-17,54497,54133596
2016-06-19,96,250
2016-06-20,25,14
2016-06-21,7127,94812885
2016-06-22,4365,4272679
2016-07-05,1482,0
2016-07-11,1132,3019011
2016-07-13,840,0
2016-07-14,240,0
2016-07-15,240,0
2016-07-16,240,0
2016-07-17,240,0
2016-07-18,360,0
2016-07-19,480,0
2016-07-21,480,0
2016-07-27,306,0
2016-07-28,6644,458267
2016-07-29,30026,12
2016-07-30,10696,12
2016-08-02,872,10
2016-08-04,4,0
2016-08-07,2080,29
2016-08-08,47400,647
2016-08-09,76,1
2016-08-14,140,2
2016-08-16,736,11
2016-08-20,27,0
2016-08-24,76,1
2017-02-11,2,13
2017-05-12,46,94
2017-08-02,10,44
2018-01-16,2,0
2018-01-20,2,0
2018-01-24,2,0
2018-02-09,4,1616
2018-02-10,4,0
2018-02-12,2,654
2018-02-13,2,0
2018-02-15,7,458
2018-02-17,2,0
2018-03-18,2,0
2018-03-30,2,266
2018-04-12,8,7
2018-04-13,63,62
2018-04-14,52,51
2018-04-25,5,636
2018-05-12,68,1796
2018-05-26,35,42
2018-05-31,49,54
2018-06-11,2,0
2018-10-07,122,37155
2018-10-08,2,67
2018-11-11,12,213
2018-11-12,3,42
2019-02-03,10,3
2019-02-12,1,54
2019-05-01,2,0
2019-05-19,14,1412
2019-06-04,2,0
2019-07-13,2,0
2019-08-13,5,11
2019-08-24,3,194
2019-10-21,10,1
2019-11-18,40,7360
2019-11-20,2,0
2019-11-23,6,0
2019-12-27,13,1375
2020-01-13,5,148
2020-04-18,525,32239
2020-04-19,46,0
