Timestamp,Transactions,USD
2015-08-09,1,0
2015-08-13,1,18
2015-08-14,2,38
2015-08-17,1,13
2015-09-07,3,0
2015-09-09,4,0
2015-09-10,1,0
2015-09-22,1,0
2015-09-28,1,0
2015-10-21,1,0
2015-10-24,23,0
2015-10-25,3,0
2015-10-31,6,1
2015-11-02,1,0
2015-11-16,1,0
2015-12-10,10,0
2015-12-11,9,0
2015-12-14,1,0
2015-12-15,100,0
2015-12-18,8,3
2015-12-20,4,2
2015-12-28,4,1
2015-12-29,6,0
2016-01-02,2,1
2016-01-03,3,1
2016-01-05,2,1
2016-01-06,3,1
2016-01-07,2,1
2016-01-09,1,3
2016-01-17,3,0
2016-01-20,2,8
2016-01-21,1,2
2016-01-23,1,0
2016-01-24,1,8
2016-01-30,1,2
2016-02-02,1,0
2016-02-04,1,256
2016-02-05,11,0
2016-02-06,2,16
2016-02-07,3,286
2016-02-09,1,3717
2016-02-11,1,0
2016-02-12,8,0
2016-02-13,2,102
2016-02-15,2,14
2016-02-16,31,2
2016-02-17,11,0
2016-02-18,1,0
2016-02-19,1,21
2016-02-20,1,2
2016-02-21,3,24
2016-02-22,2,0
2016-02-25,2,58
2016-02-29,6,1
2016-03-02,1,8911
2016-03-05,1,11
2016-03-06,1,1
2016-03-09,1,132
2016-03-10,1,11
2016-03-12,1,6
2016-03-14,2,3
2016-03-17,2,0
2016-03-18,1,0
2016-03-19,3,1738
2016-03-20,2,1
2016-03-21,6,0
2016-03-23,4,0
2016-03-24,4,3353
2016-03-28,2,44
2016-03-29,10,13
2016-03-30,16,386
2016-03-31,10,1
2016-04-01,10,35
2016-04-02,4,93
2016-04-04,2,112
2016-04-05,4,0
2016-04-06,1,0
2016-04-07,10,71
2016-04-08,4,26
2016-04-09,4,0
2016-04-10,7,7
2016-04-11,27,2
2016-04-12,6,7
2016-04-13,1,65
2016-04-15,1,4
2016-04-17,1,9
2016-04-18,2,36
2016-04-20,2,0
2016-04-21,1,41
2016-04-22,1,0
2016-04-28,6,27
2016-04-29,15,0
2016-04-30,1,0
2016-05-01,2,453
2016-05-02,1,101
2016-05-03,5,0
2016-05-04,3,103545
2016-05-05,4,138
2016-05-07,4,0
2016-05-08,1,10
2016-05-09,7,37
2016-05-10,3,47
2016-05-11,26,54
2016-05-12,8,104
2016-05-13,2,0
2016-05-14,8,503622
2016-05-15,1,0
2016-05-16,2,0
2016-05-17,4,12
2016-05-18,6,29
2016-05-19,3,4023
2016-05-20,1,10
2016-05-21,3,475
2016-05-23,3,1324
2016-05-25,1,13
2016-05-27,6,4334
2016-05-28,5,2914
2016-05-30,3,46
2016-06-01,2,31
2016-06-02,3,11197
2016-06-03,2,17
2016-06-04,4,126
2016-06-06,4,98
2016-06-07,3,30
2016-06-08,1,13
2016-06-10,5,15
2016-06-11,1,18
2016-06-12,1,59
2016-06-13,7,346
2016-06-14,2,199
2016-06-15,2,625
2016-06-16,8,1221
2016-06-17,5,83805
2016-06-18,12,9215
2016-06-19,7,12755
2016-06-21,4,42
2016-06-22,2,2395
2016-06-23,1,14
2016-06-24,13,4605
2016-06-25,8,130
2016-06-26,2,34
2016-06-27,5,36459
2016-06-28,3,3
2016-06-30,1,0
2016-07-01,1,0
2016-07-03,2,38366
2016-07-04,2,774
2016-07-06,2,184
2016-07-07,4,282
2016-07-08,1,0
2016-07-10,1,1
2016-07-11,1,79
2016-07-12,3,4
2016-07-14,2,10508
2016-07-15,9,41
2016-07-16,1,2855
2016-07-18,1,11
2016-07-20,2,27
2016-07-21,4,4396
2016-07-22,3,869
2016-07-23,8,571
2016-07-24,9,341
2016-07-25,9,5675
2016-07-26,5,46682
2016-07-27,11,3893
2016-07-28,2,6171
2016-07-29,4,7005
2016-07-30,4,8560
2016-07-31,3,1401
2016-08-01,16,2690
2016-08-02,9,1805
2016-08-03,1,17
2016-08-04,2,41
2016-08-05,1,19
2016-08-06,3,236
2016-08-07,2,214
2016-08-08,1,19
2016-08-09,5,388
2016-08-10,3,713
2016-08-11,4,4536
2016-08-12,1,20
2016-08-13,1,20
2016-08-14,4,243
2016-08-15,1,19
2016-08-16,1,17
2016-08-17,1,18
2016-08-18,2,844
2016-08-19,1,18
2016-08-20,1,19
2016-08-21,1,19
2016-08-22,2,2629
2016-08-23,4,19
2016-08-24,13,19
2016-08-25,1,19
2016-08-26,3,127
2016-08-27,1,19
2016-08-28,1,19
2016-08-29,4,1118
2016-08-30,4,76
2016-08-31,11,815
2016-09-01,1,20
2016-09-02,9,21
2016-09-03,2,29
2016-09-04,4,7061
2016-09-05,3,788
2016-09-06,5,107
2016-09-07,4,80
2016-09-08,6,11411
2016-09-09,2,11638
2016-09-10,2,12119
2016-09-11,1,20
2016-09-12,6,12021
2016-09-13,4,12747
2016-09-14,3,11993
2016-09-15,5,23
2016-09-16,2,1273
2016-09-17,10,76415
2016-09-18,4,58
2016-10-07,1,62
2016-10-08,1,0
2016-10-09,2,361
2016-10-10,1,1
2016-10-11,1,10
2016-10-18,2,483
2016-10-21,1,5
2016-10-23,7,17055
2016-10-27,1,30
2016-11-01,1,11871
2016-11-02,2,22
2016-11-05,13,0
2016-11-06,6,0
2016-11-07,1,23706
2016-11-11,3,1139
2016-11-14,2,20
2016-11-15,1,280502
2016-11-16,1,19
2016-11-17,1,30
2016-11-20,1,12
2016-11-22,2,0
2016-11-25,710,0
2016-12-11,2,15
2016-12-24,1,3
2017-01-01,2,16
2017-01-04,1,1097
2017-01-11,1,29
2017-01-13,1,20
2017-01-16,1,0
2017-01-17,1,1
2017-01-21,3,1461
2017-01-24,1,46
2017-01-26,1,11
2017-02-03,5,4
2017-02-04,1,29
2017-02-06,2,7
2017-02-07,2,14
2017-02-09,1,1965
2017-02-11,1,6
2017-02-12,1,6
2017-02-14,1,1298
2017-02-25,1,13
2017-02-26,5,10
2017-02-28,4,6281
2017-03-02,3,149771
2017-03-03,1,82
2017-03-05,4,0
2017-03-06,2,13
2017-03-07,2,3958
2017-03-08,2,2289
2017-03-14,2,15916
2017-03-15,2,14
2017-03-19,4,6065
2017-03-20,3,5
2017-03-21,4,6
2017-03-23,1,53
2017-03-24,3,37
2017-03-27,1,72
2017-03-28,2,97411
2017-03-29,6,5797
2017-03-30,4,15698
2017-03-31,1,100
2017-04-01,2,230
2017-04-03,1,3696
2017-04-04,4,37
2017-04-05,2,47
2017-04-06,7,849801
2017-04-08,1,0
2017-04-13,3,6272
2017-04-16,4,2143
2017-04-19,8,13638
2017-04-24,1,26
2017-04-25,1,51
2017-04-27,1,2239
2017-04-29,1,81
2017-05-02,11,4532
2017-05-03,2,6489
2017-05-05,1,3
2017-05-07,1,4
2017-05-08,1,3232
2017-05-09,2,61697
2017-05-10,1,177
2017-05-11,1,884
2017-05-12,23,37
2017-05-13,3,11
2017-05-14,1,6
2017-05-16,2,5339
2017-05-17,6,848
2017-05-18,8,20480
2017-05-19,5,233
2017-05-22,1,13
2017-05-23,3,1720
2017-05-24,4,5943
2017-05-25,1,19
2017-05-26,1,1
2017-05-27,3,1
2017-05-28,4,222
2017-05-29,1,155
2017-05-30,7,17610
2017-05-31,6,7138
2017-06-01,6,1395
2017-06-02,1,224
2017-06-03,6,5085
2017-06-06,3,453
2017-06-07,1,1993
2017-06-08,1,5329
2017-06-09,5,1952675
2017-06-10,2,507
2017-06-11,1,10232
2017-06-12,35,123050
2017-06-13,8,195
2017-06-14,1,1043
2017-06-15,2,26097
2017-06-16,3,2468
2017-06-18,4,259
2017-06-19,1,0
2017-06-20,18,155018
2017-06-21,10,15673
2017-06-22,2,2586
2017-06-23,1,520
2017-06-24,1,6381
2017-06-25,2,2427
2017-06-26,6,106183
2017-06-27,1,56
2017-06-28,4,8093
2017-06-29,2,945617
2017-06-30,6,617
2017-07-01,5,7116
2017-07-02,1,29
2017-07-03,5,120
2017-07-04,2,54
2017-07-05,4,106
2017-07-07,4,108
2017-07-08,10,368
2017-07-09,3,525
2017-07-10,6,853
2017-07-12,2,15070
2017-07-13,2,15081
2017-07-16,3,57
2017-07-19,1,7586
2017-07-20,1,6704
2017-07-21,1,2
2017-07-22,1,1128
2017-07-24,3,105
2017-07-27,1,406
2017-07-28,1,6
2017-08-01,2,1013
2017-08-02,2,11493
2017-08-05,1,800
2017-08-09,1,0
2017-08-10,1,594
2017-08-13,3,2088
2017-08-19,1,1186
2017-08-21,7,1291
2017-08-22,3,1405
2017-08-23,2,158396132
2017-08-30,1,543
2017-09-01,2,30907
2017-09-02,3,23164
2017-09-03,3,3
2017-09-05,1,0
2017-09-07,1,5
2017-09-10,1,278
2017-09-15,1,1691973
2017-09-19,3,6731
2017-09-20,1,279
2017-09-26,3,85
2017-09-27,2,638
2017-09-28,3,12067
2017-09-30,2,75
2017-10-01,1,0
2017-10-02,1,263298
2017-10-05,1,4674
2017-10-06,2,4
2017-10-07,2,3
2017-10-11,5,1830
2017-10-13,1,247
2017-10-15,1,335
2017-10-18,2,5103
2017-10-19,2,1221
2017-10-23,2,0
2017-10-24,17,17493
2017-10-25,1,239
2017-10-27,24,6851
2017-10-28,30,83
2017-10-29,5,759
2017-10-30,4,966
2017-11-02,1,0
2017-11-03,1,2
2017-11-04,9,25451
2017-11-06,1,603
2017-11-09,1,644
2017-11-11,1,316
2017-11-12,3,16466
