Timestamp,Deployments
2016-03-20,1
2016-04-30,1
2016-06-10,3
2016-06-19,3
2016-06-20,1
2016-06-21,3
2016-06-22,1
2016-07-05,1
2016-07-08,1
2016-08-20,1
2017-01-25,1
2017-05-12,2
2017-08-02,1
2018-02-04,1
2018-02-05,1
2018-02-10,1
2018-02-13,1
2018-04-09,1
2018-04-12,4
2018-04-13,1
2018-04-14,1
2018-04-25,1
2018-05-11,1
2018-05-12,1
2018-07-05,1
2018-08-15,1
2018-08-30,1
2018-10-07,1
2018-11-25,1
2019-05-23,1
2019-06-02,2
2019-08-10,1
2019-10-21,5
2019-11-10,1
2019-11-18,1
2019-11-21,2
2019-11-22,1
2019-12-23,1
2020-01-13,1
