Timestamp,Deployments
2016-02-05,1
2016-03-19,1
2016-03-28,1
2017-03-11,1
2017-07-12,1
2017-07-16,1
2017-07-21,1
2017-09-13,1
2017-09-26,1
2018-01-24,1
2018-02-06,1
2018-02-17,1
2018-03-18,1
2018-05-02,2
2018-05-17,1
2018-05-18,1
2018-07-20,1
2018-07-27,1
2018-07-31,1
2018-08-06,1
2018-08-17,1
2018-08-20,3
2018-08-29,1
2018-08-30,2
2018-09-08,2
2018-09-09,2
2018-09-21,1
2018-09-24,2
2018-09-27,1
2018-10-17,1
2018-10-18,1
2018-10-24,1
2018-11-04,1
2018-11-06,1
2018-11-09,1
2018-11-20,1
2018-12-06,1
2018-12-07,1
2018-12-09,1
2018-12-14,1
2018-12-16,1
2018-12-20,1
2019-01-01,1
2019-01-11,1
2019-01-17,1
2019-01-18,1
2019-01-21,1
2019-01-26,1
2019-01-29,2
2019-01-31,1
2019-02-05,1
2019-02-19,1
2019-02-26,1
2019-03-05,2
2019-03-13,1
2019-03-26,1
2019-04-02,1
2019-04-04,1
2019-04-24,1
2019-05-03,1
2019-05-04,1
2019-05-10,1
2019-05-31,1
2019-06-01,6
2019-06-02,7
2019-06-18,1
2019-06-19,1
2019-06-21,1
2019-06-22,1
2019-06-28,1
2019-07-13,1
2019-07-15,1
2019-07-17,1
2019-07-18,5
2019-07-19,1
2019-07-31,1
2019-08-07,2
2019-08-08,1
2019-08-23,1
2019-08-24,1
2019-08-29,1
2019-08-30,1
2019-09-01,1
2019-09-17,1
2019-09-21,1
2019-09-23,1
2019-09-24,1
2019-09-25,1
2019-09-26,2
2019-09-27,1
2019-09-30,1
2019-10-03,1
2019-10-04,1
2019-10-07,1
2019-10-09,1
2019-10-10,1
2019-10-11,1
2019-10-15,1
2019-10-21,5
2019-10-29,1
2019-10-30,1
2019-11-13,1
2019-11-21,3
2019-11-22,6
2019-11-25,1
2019-11-28,2
2019-12-03,1
2019-12-04,2
2019-12-16,2
2019-12-19,1
2019-12-21,1
2019-12-23,2
2020-01-02,1
2020-01-05,2
2020-01-08,1
2020-01-13,1
2020-01-15,2
2020-01-16,1
2020-01-17,1
2020-01-21,1
2020-01-22,1
2020-01-26,1
2020-01-27,1
2020-02-03,1
2020-02-04,1
2020-02-07,2
2020-02-11,1
2020-02-15,1
2020-02-16,1
