Timestamp,Deployments
2016-02-05,1
2017-06-28,1
2017-07-12,1
2017-07-16,1
2017-07-21,1
2017-08-20,1
2017-10-23,1
2017-10-30,2
2017-11-20,1
2017-12-28,1
2017-12-29,1
2018-01-11,1
2018-01-24,1
2018-01-31,2
2018-02-01,2
2018-02-06,1
2018-03-18,1
2018-03-21,1
2018-04-11,1
2018-05-27,1
2018-05-29,1
2018-06-13,1
2018-07-17,1
2018-07-18,1
2018-08-19,1
2018-08-20,1
2018-08-23,2
2018-08-24,2
2018-08-30,1
2018-09-03,1
2018-09-17,1
2018-09-23,1
2019-01-04,1
2019-04-03,1
2019-04-04,1
2019-06-02,2
2019-10-09,1
2019-10-16,1
2019-11-28,2
2020-01-02,1
2020-01-05,1
2020-01-08,1
2020-01-21,1
2020-01-26,1
2020-02-05,1
2020-02-11,1
2020-02-15,1
