Timestamp,Transactions,USD
2016-06-10,8,56
2016-06-19,47,241
2016-06-21,1315,3299151
2016-07-21,160,866
2017-05-12,14,7
2018-02-09,2,1720
2018-02-12,1,346
2018-02-15,5,461
2018-03-30,1,230
2018-04-12,14,2
2018-04-13,44,45
2018-04-25,5,705
2018-05-12,37,924
2018-07-27,37,0
2018-08-17,20,139
2018-11-12,5,5
2019-08-13,5,10
2019-10-11,1,918
2019-10-16,1,1
2019-10-21,4,4
2019-10-24,1,0
2019-11-01,1,2
2019-12-27,11,1380
2020-01-13,2,3
2020-02-01,1,0
2020-02-04,1,473
2020-02-12,1,1066
2020-02-17,1,2
